"","Actual","Predicted","Profit","Signals"
"2018-05-14",169.75,165.241015517557,-0.0265625006329504,"Hold"
"2018-05-15",167.869995,165.803801421221,-0.0123082959451991,"Hold"
"2018-05-16",168.979996,166.351992496363,-0.0155521574496728,"Hold"
"2018-05-17",168.330002,166.899519817335,-0.00849808213430989,"Hold"
"2018-05-18",167.460007,167.425022921011,-0.000208910053303314,"Hold"
"2018-05-21",168.399994,167.900686237925,-0.00296501056926731,"Hold"
"2018-05-22",168.179993,168.354822182769,0.00103953615201526,"Hold"
"2018-05-23",169.600006,168.775871340825,-0.00485928437511494,"Hold"
"2018-05-24",169.550003,169.187977284807,-0.00213521503265761,"Hold"
"2018-05-25",169.720001,169.566313279815,-0.00090553688003181,"Hold"
"2018-05-29",168.970001,169.911818673855,0.0055738750564093,"Hold"
"2018-05-30",170.179993,170.186876849052,4.04504015481707e-05,"Hold"
"2018-05-31",170.070007,170.431557596586,0.00212589276006641,"Hold"
"2018-06-01",172.740005,170.658169480616,-0.0120518435748783,"Hold"
"2018-06-04",174.300003,170.96406311267,-0.0191390695921575,"Hold"
"2018-06-05",174.839996,171.370191387523,-0.0198455999305593,"Hold"
"2018-06-06",175.860001,171.874139947906,-0.0226649666179302,"Hold"
"2018-06-07",174.429993,172.459179083463,-0.0112985954000291,"Hold"
"2018-06-08",174.440002,173.046935341352,-0.00798593580988589,"Hold"
"2018-06-11",174.910004,173.639081692607,-0.00726614989610996,"Hold"
"2018-06-12",175.830002,174.230245998219,-0.00909831077508948,"Hold"
"2018-06-13",175.820007,174.817699491048,-0.00570075912323132,"Hold"
"2018-06-14",177.600006,175.399371335716,-0.0123909605289297,"Hold"
"2018-06-15",176.979996,176.005198397909,-0.00550795357736704,"Hold"
"2018-06-18",176.5,176.59430933536,0.000534330511956014,"Hold"
"2018-06-19",176,177.139666840071,0.00647537977313109,"Hold"
"2018-06-20",177.25,177.610086110886,0.00203151543518043,"Hold"
"2018-06-21",175.710007,178.042399681806,0.0132741027197507,"Buy"
"2018-06-22",175.320007,178.373038535091,0.0174140509536408,"Buy"
"2018-06-25",171.369995,178.58825015014,0.0421208809053179,"Buy"
"2018-06-26",172.070007,178.560694648098,0.03772120290608,"Buy"
"2018-06-27",169.729996,178.323563619042,0.0506308125939139,"Buy"
"2018-06-28",171.190002,177.832626193023,0.0388026410153481,"Buy"
"2018-06-29",171.649994,177.170447954481,0.0321611077625843,"Buy"
"2018-07-02",172.800003,176.394992885949,0.0208043392565731,"Buy"
"2018-07-03",170.800003,175.580327801375,0.0279878496335565,"Buy"
"2018-07-05",172.919998,174.703696801235,0.0103151678340587,"Buy"
"2018-07-06",175.610001,173.865014296055,-0.00993671598433321,"Hold"
"2018-07-09",177.190002,173.192685664804,-0.0225594914502916,"Hold"
"2018-07-10",177.320007,172.724587592781,-0.0259159667595732,"Hold"
"2018-07-11",176.419998,172.451765221102,-0.0224931006908747,"Hold"
"2018-07-12",179.460007,172.335262778744,-0.0397010138378951,"Hold"
"2018-07-13",179.610001,172.429543042036,-0.0399780519903472,"Hold"
"2018-07-16",179.179993,172.719793812668,-0.0360542439988391,"Hold"
"2018-07-17",180.270004,173.166861357847,-0.0394027984941584,"Hold"
"2018-07-18",179.929993,173.768568098105,-0.0342434565753318,"Hold"
"2018-07-19",179.029999,174.482922848613,-0.0253984034898341,"Hold"
"2018-07-20",178.990005,175.260015953751,-0.0208390912456207,"Hold"
"2018-07-23",179.559998,176.065685422607,-0.0194604177785377,"Hold"
"2018-07-24",180.300003,176.889186977162,-0.0189174485085169,"Hold"
"2018-07-25",182.820007,177.722415829663,-0.0278831144029908,"Hold"
"2018-07-26",180.050003,178.609606731664,-0.00799997914099658,"Hold"
"2018-07-27",177.619995,179.428240755643,0.0101804177825971,"Buy"
"2018-07-30",175.110001,180.096947850986,0.0284789379390516,"Buy"
"2018-07-31",176.449997,180.504566661519,0.022978575973106,"Buy"
"2018-08-01",177.119995,180.714398374352,0.0202936058932938,"Buy"
"2018-08-02",179.529999,180.735937391232,0.00671719711440757,"Hold"
"2018-08-03",180.080002,180.690126708727,0.00338807586601044,"Hold"
"2018-08-06",181.139999,180.614416035768,-0.0029015290224861,"Hold"
"2018-08-07",181.800003,180.566012442239,-0.00678762671836363,"Hold"
"2018-08-08",182.020004,180.556160932986,-0.00804220983872668,"Hold"
"2018-08-09",181.910004,180.610480089991,-0.00714377374214459,"Hold"
"2018-08-10",180.520004,180.726943716316,0.00114635337763415,"Hold"
"2018-08-13",180.320007,180.84431563782,0.00290765648550445,"Hold"
"2018-08-14",181.449997,180.946863716205,-0.00277284812407619,"Hold"
"2018-08-15",179.229996,181.073962935655,0.0102882719232704,"Buy"
"2018-08-16",179.820007,181.145458187397,0.0073709884095201,"Hold"
"2018-08-17",179.860001,181.186098574266,0.0073729432163509,"Hold"
"2018-08-20",179.699997,181.197720094637,0.00833457495626429,"Hold"
"2018-08-21",180.360001,181.180349919734,0.00454839717889297,"Hold"
"2018-08-22",181.059998,181.161679407714,0.00056158957714358,"Hold"
"2018-08-23",180.800003,181.177264045086,0.00208662078996703,"Hold"
"2018-08-24",182.479996,181.216274158556,-0.00692526232543231,"Hold"
"2018-08-27",184.339996,181.341649946127,-0.0162653038891939,"Hold"
"2018-08-28",184.610001,181.618144314556,-0.0162063629772885,"Hold"
"2018-08-29",186.740005,182.033832978413,-0.0252017344734846,"Hold"
"2018-08-30",186.410004,182.62334760261,-0.0203135900227222,"Hold"
"2018-08-31",186.649994,183.315565569326,-0.017864605078286,"Hold"
"2018-09-04",185.850006,184.066861538729,-0.00959453539791996,"Hold"
