"","Actual","Predicted","Profit","Signals"
"2022-12-22",380.720001,393.835802795324,0.0344499941187074,"Buy"
"2022-12-23",382.910004,393.318707838446,0.0271831598279312,"Buy"
"2022-12-27",381.399994,392.718030304858,0.0296749776688724,"Buy"
"2022-12-28",376.660004,392.052237615208,0.040865059872955,"Buy"
"2022-12-29",383.440002,391.277384846079,0.0204396588910894,"Buy"
"2022-12-30",382.429993,390.460008552675,0.0209973477490154,"Buy"
"2023-01-03",380.820007,389.625464198444,0.0231223597410528,"Buy"
"2023-01-04",383.76001,388.79982512519,0.013132726167039,"Buy"
"2023-01-05",379.380005,387.993077020811,0.022703020473657,"Buy"
"2023-01-06",388.079987,387.132699814027,-0.00244095861086863,"Hold"
"2023-01-09",387.859985,386.347649582885,-0.00389917876450978,"Hold"
"2023-01-10",390.579987,385.647307202772,-0.0126291155753159,"Hold"
"2023-01-11",395.519989,385.089244722949,-0.0263722303983244,"Hold"
"2023-01-12",396.959991,384.711410987885,-0.0308559559900717,"Hold"
"2023-01-13",398.5,384.509669223566,-0.0351074799910526,"Hold"
"2023-01-17",397.769989,384.475085433881,-0.0334235963842888,"Hold"
"2023-01-18",391.48999,384.614881475069,-0.017561390330648,"Hold"
"2023-01-19",388.640015,384.816422233449,-0.0098383918767378,"Hold"
"2023-01-20",395.880005,385.050281875308,-0.0273560750427194,"Hold"
"2023-01-23",400.630005,385.394197652861,-0.0380296212390261,"Hold"
"2023-01-24",400.200012,385.91180230337,-0.0357026718345765,"Hold"
"2023-01-25",400.350006,386.564348342701,-0.034434013864605,"Hold"
"2023-01-26",404.75,387.308518990997,-0.0430919851982768,"Sell"
"2023-01-27",405.679993,388.1225822758,-0.0432789662471728,"Sell"
"2023-01-30",400.589996,388.955357059888,-0.0290437580975226,"Hold"
"2023-01-31",406.480011,389.83363456342,-0.0409525093143636,"Sell"
"2023-02-01",410.799988,390.721258843115,-0.0488771415370267,"Sell"
"2023-02-02",416.779999,391.661004680673,-0.0602691932904556,"Sell"
"2023-02-03",412.350006,392.694993588491,-0.0476658472790439,"Sell"
"2023-02-06",409.829987,393.693347014837,-0.0393739855477272,"Hold"
"2023-02-07",415.190002,394.674492897047,-0.049412338939109,"Sell"
"2023-02-08",410.649994,395.658775907662,-0.0365060716215138,"Hold"
"2023-02-09",407.089996,396.575413241018,-0.0258286444331647,"Hold"
"2023-02-10",408.040009,397.438963470125,-0.0259804070582576,"Hold"
"2023-02-13",412.829987,398.17984264617,-0.0354871128918988,"Hold"
