"","Actual","Predicted","Profit","Signals"
"2022-09-16",385.559998,405.367155220067,0.0513724383307699,"Buy"
"2022-09-19",388.549988,404.527421334652,0.0411206635647925,"Buy"
"2022-09-20",384.089996,403.66866971831,0.0509741829316208,"Buy"
"2022-09-21",377.390015,402.764914478417,0.0672378665832392,"Buy"
"2022-09-22",374.220001,401.788661570606,0.0736696608864743,"Buy"
"2022-09-23",367.950012,400.709707283682,0.0890330050694009,"Buy"
"2022-09-26",364.309998,399.513430055185,0.0966304308101515,"Buy"
"2022-09-27",363.380005,398.208350003793,0.0958455185331203,"Buy"
"2022-09-28",370.529999,396.767842931994,0.0708116589825541,"Buy"
"2022-09-29",362.790009,395.23330791809,0.08942721164653,"Buy"
"2022-09-30",357.179993,393.541211723103,0.101800827133964,"Buy"
"2022-10-03",366.609985,391.815132050722,0.0687519382504594,"Buy"
"2022-10-04",377.970001,390.057844275629,0.0319809594508782,"Buy"
"2022-10-05",377.089996,388.364077223731,0.0298975876934444,"Buy"
"2022-10-06",373.200012,386.742867289714,0.0362884642396914,"Buy"
"2022-10-07",362.790009,385.159160896814,0.0616586767603469,"Buy"
"2022-10-10",360.019989,383.614375457355,0.0655363234771813,"Buy"
"2022-10-11",357.73999,382.070938593419,0.0680129403297054,"Buy"
"2022-10-12",356.559998,380.450463961603,0.0670026533980478,"Buy"
"2022-10-13",365.970001,378.787470088986,0.035023278011757,"Buy"
"2022-10-14",357.630005,377.122907050186,0.0545057790947559,"Buy"
"2022-10-17",366.820007,375.424858036331,0.0234579654111684,"Buy"
"2022-10-18",371.130005,373.970960642138,0.00765487997161117,"Hold"
"2022-10-19",368.5,372.635437515217,0.0112223541796932,"Buy"
"2022-10-20",365.410004,371.458919577739,0.0165537766112687,"Buy"
"2022-10-21",374.290009,370.422406307976,-0.0103331710679554,"Hold"
"2022-10-24",378.869995,369.520995430521,-0.0246760094303022,"Hold"
"2022-10-25",384.920013,368.845485033457,-0.0417606968296111,"Sell"
"2022-10-26",382.019989,368.452128081748,-0.0355161020599159,"Hold"
"2022-10-27",379.980011,368.284170979145,-0.0307801454873243,"Hold"
"2022-10-28",389.019989,368.340111831793,-0.0531589063620241,"Sell"
"2022-10-31",386.209991,368.639824137224,-0.0454938175402514,"Sell"
"2022-11-01",384.519989,369.109675984764,-0.0400767540208052,"Sell"
"2022-11-02",374.869995,369.660395429514,-0.013897083362157,"Hold"
"2022-11-03",371.01001,370.328975994467,-0.00183562164679417,"Hold"
"2022-11-04",376.350006,371.055817525178,-0.0140671938100663,"Hold"
"2022-11-07",379.950012,371.735828128151,-0.0216191172849585,"Hold"
"2022-11-08",382,372.350492268213,-0.0252604914444692,"Hold"
"2022-11-09",374.130005,372.995610435113,-0.00303208657345407,"Hold"
"2022-11-10",394.690002,373.634437857027,-0.0533470927469132,"Sell"
"2022-11-11",398.51001,374.449970913244,-0.0603749930566521,"Sell"
"2022-11-14",395.119995,375.395186245875,-0.0499210594344267,"Sell"
"2022-11-15",398.48999,376.435279029323,-0.0553457088612871,"Sell"
"2022-11-16",395.450012,377.573001171181,-0.045206752525826,"Sell"
"2022-11-17",394.23999,378.669735691076,-0.0394943554785595,"Hold"
"2022-11-18",396.029999,379.866887459848,-0.0408128464534617,"Sell"
"2022-11-21",394.589996,381.013326843952,-0.0344070282918379,"Hold"
"2022-11-22",399.899994,382.145021072248,-0.0443985326185135,"Sell"
"2022-11-23",402.420013,383.349431994648,-0.0473897430278941,"Sell"
"2022-11-25",402.329987,384.636170167347,-0.0439783695085421,"Sell"
"2022-11-28",395.910004,385.880373454519,-0.0253331071307849,"Hold"
